,Podnaslov,Glavni naslov,Prvi paragraf,Datum objave vijesti
134,,Koliko građani BiH koriste elektronske račune i koje su pogodnosti,"Usluga elektronskog računa tzv. eRačun nalazi se u paketu usluga vjerovatno svih kompanija koje nude komunalne usluge. Sve veći broj građana već ih koristi, a postoje i značajne privilegije koje ovim vidom fakturisanja građani dobivaju.",08.02.2020. u 07:05
135,Ekipe na terenu,Brojna naselja u Sarajevu ostala bez vode zbog kvara na glavnom izvorištu,"Naponski kabal na glavnom izvorištu Bačevo je oštećen što je uzrokovalo probleme u vodosnabdijevanju Na Dolac Malti, Čengić Vili, Grbavici, Otoci i jednom dijelu Dobrinje.",31.01.2020. u 11:05
136,Sarajevo,ViK zavrnuo ventile: Pet ilidžanskih hotela ostalo bez vode,"Danas je KJKP “Vodovod i kanalizacija“ d.o.o. Sarajevo izvršilo isključenje objekata hotela HBRD ""Hoteli Ilidža"" d.d. - hotel Terme, hotel Hercegovina, hotel Kristal, hotel Bosna i hotel Austrija iz sistema vodosnabdijevanja.",19.12.2019. u 20:47
137,Za bolji saobraćaj,Koldžo: Gradimo kružni tok na jednoj od najfrekventnijih raskrsnica u Novom Sarajevu,"Načelnik Općine Novo Sarajevo Nedžad Koldžo kazao je da su u 2019. godini realizirani svi započeti projekti, njih oko stotinu, a koji su planirani budžetom i Strategijom razvoja te općine.",15.12.2019. u 21:09
138,Mimo zakona,Inspekcija utvrdila brojne nepravilnosti u krugu kasarne Blažuj: Gdje su dozvole za radove?,Služba za inspekcijski nadzor Općine Ilidža obišla je jutros krug kasarne Blažuj te uočila da se intenzivno vrše građevinsko-zanatski radovi.,12.12.2019. u 13:36
139,Nakon razrješenja,"Imenovani novi članovi Nadzornog odbora ViK-a, među njima i Kemal Ademović","Skupština KJKP ""Vodovod i kanalizacija"" d.o.o. Sarajevo je na 4. sjednici održanoj 11. novembra donijela rješenje o imenovanju članova Nadzornog odbora tog preduzeća, objavljeno je u Službenim novinama Federacije BiH.",10.12.2019. u 12:16
140,,"Direktor ViK-a: Mijenjamo najkritičnije cijevi, neki dan smo izvadili cijev od drveta","Javno komunalno preduzeće Vodovod i kanalizacija (VIK) obilježilo je danas, prigodnim programom, Dan preduzeća i 130 godina postojanja.",06.12.2019. u 17:33
141,Priznao krivicu,Bivši direktor Direkcije za puteve KS Nermin Drnda osuđen na tri godine zatvora,Nakon prihvatanja sporazuma o priznanju krivice Općinski sud u Sarajevu proglasio je krivim bivšeg direktora Direkcije za puteve KS Nermina Drndu i osudio ga na kaznu zatvora u trajanju od tri godine.,22.11.2019. u 14:00
142,Krivi bivšu upravu,Ministar Mandić: Zbog kašnjenja rekonstrukcije vodovodne mreže platili smo 105.000 eura penala,"Ministar komunalne privrede i infrastrukture Kantona Sarajevo Srđan Mandić smatra da je novi menadžment Kantonalnog javnog komunalnog preduzeća ""Vodovod i Kanalizacija"" u posljednja tri mjeseca uradio mnogo te je poručio da za to preduzeće 'dolazi bolje vrijeme'.",30.10.2019. u 17:10
143,Sarajevo,Na Skupštini KS danas o Zakonu o koncesijama i sanaciji GRAS-a i ViK-a,"Izmjene i dopune Zakona o koncesijama u Kantonu Sarajevo, koje između ostalog obuhvataju usklađivanje odredbi postojećeg Zakona o koncesijama sa zakonom u FBiH, trebalo bi da budu razmatrane sjednici Skupštine Kantona koja je najavljena za danas.",30.10.2019. u 08:23
144,Bio vršilac dužnosti,Enver Hadžiahmetović je novi direktor sarajevskog ViK-a,"Enver Hadžiahmetović, dosadašnji vršilac dužnosti direktora Kantonalnog javnog komunalnog preduzeća ""Vodovod i kanalizacija"" imenovan je za novog direktora, saopćeno je iz preduzeća.",24.10.2019. u 13:46
145,Bivša čelnica,Na konkurs za direktora Vodovoda u Sarajevu prijavila se i Azra Muzur,"Na konkurs za novog direktora Javnog kantonalnog preduzeća Vodovod i kanalizacija Sarajevo, kako saznaje Klix.ba osim aktuelnog vršioca dužnosti direktora Envera Hadžiahmetovića prijavila se i bivša direktorica ovog preduzeća Azra Muzur, saznaje Klix.ba.",14.10.2019. u 09:02
146,Novi Grad,Penicilin za sarajevske gužve: Uskoro bi moglo početi širenje ulice Džemala Bijedića,Ulica Džemala Bijedića u Sarajevu jedna je od najvažnijih i njena rekonstrukcija može doprinijeti znatnom poboljšanju saobraćaja u gradu. Nakon dugog čekanja to bi se konačno moglo i desiti.,10.10.2019. u 21:49
147,Prva faza,"Aktiviran EBRD-ov novac za obnovu vodovoda u Sarajevu, uskoro početak radova","Danas su ministar komunalne privrede i infrastrukture KS Srđan Mandić, direktor KJKP Vovodov i kanalizacija Enver Hadžiahmetović i predstavnici firme Unioninvest & Deling Mirza Hadžibegić i Omer Delalić potpisali ugovor vrijedan 5,5 miliona eura.",24.09.2019. u 14:37
148,Kredit EBRD-a,ViK se zadužuje šest miliona eura za nove pumpne stanice u Sarajevu,"KJKP Vodovod i kanalizacija sljedeće sedmice će potpisati ugovor s Evropskom bankom za obnovu i razvoj (EBRD) vrijedan šest miliona eura za izradu pumpnih stanica, potvrđeno je za Klix.ba.",18.09.2019. u 09:50
149,Water Loss Week,Sarajevski vodovod obučava svoje uposlenike o curenju vode,"U Sarajevu se održava Water Loss Week 2019, događaj koji ima za cilj, da uz interaktivni pristup sa polaznicima, prikaže najbolje, najjednostavnije i najprihvatljivije metode smanjenja neprihodovane vode u vodovodima Zapadnog Balkana.",13.09.2019. u 11:55
150,Kanalizacija završena,Vodovod još radi na vodovodnoj mreži u ulici Koševo u Sarajevu,"Radovi u sarajevskoj ulici Koševo još traju, a njihov završetak kasni zbog nepredviđenih problema na vodovodnoj i kanalizacionoj mreži. Kako su nam kazali iz KJKP Vodovod i kanalizacija, radovi na vodovodnoj mreži su u toku, dok su na kanalizacionoj završeni.",09.09.2019. u 09:28
151,Građani ogorčeni,"Rekonstrukcija sarajevske ulice Koševo još nije okončana, nadležni krive Vodovod","Završetak radova na rekonstrukciji saobraćajnice u sarajevskoj ulici Koševo kasni nekoliko dana. Građani su ogorčeni jer se na ovom dijelu stvaraju velike gužve, pogotovo otkako je počela školska godina.",05.09.2019. u 19:02
152,Građani ogorčeni,Nevrijeme donijelo probleme Sarajlijama: Voda ušla u kuće u Boljakovom Potoku,"U poslijepodnevnim satima velike količine kiše sručile su se na Sarajevo, a posebno tešku situaciju fotoreporter portala Klix.ba zabilježio je u naselju Boljakov Potok gdje je voda prešla kućne pragove i napravila velike probleme stanarima u ulici Smaila Šikala.",24.08.2019. u 20:07
153,Nelegalni potrošači,"Borba s neplatišama u Sarajevu urodila plodom, prihodi Rada uvećani za 300.000 KM","Kontrole velikih potrošača vode i usluga odvoza otpada te uvođenja nelegalnih korisnika u sistem dali su pozitivne rezultate te uvećali prihode u sarajevskim preduzećima Rad te Vodovod i kanalizacija, ali saznajemo kako neplatiše i dalje koriste sve mehanizme koje im sistem dozvoljava kako bi izbjegli plaćanje.",02.08.2019. u 20:26
154,Općina Stari Grad,Sankcije ViK-u za neovlaštene prokope saobraćajnica,"Općina Stari Grad Sarajevo, putem Službe za inspekcijske poslove, poduzimat će sankcione mjere protiv Kantonalnog javnog komunalnog preduzeća ""Vodovod i kanalizacija"" (ViK) za sve prokope koji se budu vršili na saobraćajnicama, a suprotno odredbama Zakona o cestama Federacije BiH, kao i Odluke o uslovima i načinu prokopa javnih površina na području Kantona Sarajevo.",02.08.2019. u 15:40
155,,Direktor Vodovoda i kanalizacije Enver Hadžiahmetović: Metla će definitivno raditi,"Enver Hadžiahmetović, v. d. direktora preduzeća Vodovod i kanalizacija, nakon 45 dana na ovoj funkciji istakao je da je već proveo internu kontrolu i najavio ""čistku"" čim se stabilizuje situacija u vezi s vodosnabdijevanjem.",31.07.2019. u 12:18
156,,Stigla prva kazna od 105.000 eura jer ViK nije počeo realizaciju kredita EBRD-a,"Ministar komunalne privrede i infrastrukture Kantona Sarajevo Srđan Mandić saopćio je danas da je prije sedam dana stigla prva kazna, penal od 105.000 eura koji će građani Kantona Sarajevo morati platiti jer nije počela realizacija kredita Evropske banke za obnovu i razvoj (EBRD) za rekonstrukciju vodovodne i kanalizacione mreže.",31.07.2019. u 11:36
157,O zapošljavanju,"Konaković poručio SDA: Jedan Narod i pravda vam je nesanica, zamislite da napravimo dva",Predsjednik Naroda i pravde Elmedin Konaković reagirao je na saopćenje Kantonalnog odbora SDA u kojem mu spočitavaju zapošljavanje kadrova stranke u javnom preduzeću Vodovod i kanalizacija.,27.07.2019. u 16:29
158,,U BiH je bankovnom karticom lakše platiti odvoz smeća nego struju,"Dok iz svijeta stižu informacije kako je Švedska prva zemlja koja bi mogla odbaciti gotovinu do 2030. godine, u Bosni i Hercegovini još nije u potpunosti implementirano kartično plaćanje komunalnih usluga.",26.07.2019. u 07:08
159,Nije ostao dužan,"Direktor VIK-a odgovorio SDA: Naš stav je jasan, tajkuni će plaćati prvi, a sirotinja zadnja","Nakon što je kantonalni odbor SDA Sarajevo reagirao na pojedine navode Envera Hadžiahmetovića, novog direktora Javnog preduzeća Vodovod i kanalizacija (VIK), navodeći u svom saopćenju da žele upoznati javnost na ""sumnjive i nezakonite poslove koje je vodio kao funkcioner u općini Breza"", dužan nije ostao ni Hadžiahmetović.",15.07.2019. u 21:38
160,Oštar napad,"SDA reagovala na navode novog direktora ViK-a, tvrde da je vječiti stranački funkcioner","Kantonalni odbor SDA Sarajevo reagirao je na pojedine navode novog direktora Javnog preduzeća Vodovod i kanalizacija Envera Hadžiahmetovića iz intervjua za Klix.ba. Hadžiahmetović je na ovu poziciju nedavno došao kao kadar Naroda i pravde, a nakon smjene Azre Muzur, koja je kadar SDA.",14.07.2019. u 11:25
161,Razgovor za Klix.ba,"Hadžiahmetović uvodi red u ViK-u: O stranačkom zapošljavanju, gubicima vode i redukcijama","Enver Hadžiahmetović, novoimenovani direktor KJKP Vodovod i kanalizacija, izjavio je u razgovoru za Klix.ba kako mu je cilj da u naredne dvije do tri godine poslovanje tog preduzeća, ali i gubitke vode, dovede na pozitivnu nulu. Sa Hadžiahmetovićem smo razgovarali i o kreditu EBRD-a, redukcijama, kvarovima, stranačkom zapošljavanju i drugim aktuelnim temama.",14.07.2019. u 09:06
162,Odgovor Vladi KS,Hoteli Ilidža: Lažna priča o šteti koju zbog nas trpe ViK i Rad je reketiranje,"Uprava HBRD Hoteli Ilidža d.d. demantovali su navode resornog ministra komunalne privrede i infrastrukture Srđana Mandića, poručivši da su Hoteli Ilidža d.d. Sarajevo priključeni na centralnu vodovodnu mrežu KJKP Vodovod i kanalizacija d.o.o., ali da imaju pravo na alternativni priključak.",04.07.2019. u 18:06
163,Alarmantno stanje,Ministar Mandić otkrio detalje malverzacija u ViK-u i probleme s Hotelom Terme,"Resorni ministar komunalne privrede i infrastrukture Srđan Mandić govorio je danas o stanju u javnim preduzećima u Kantonu Sarajevo, s posebnim osvrtom na stanje u Komunalnom javnom preduzeću Vodovod i kanalizacija (ViK) i problemima s kojima se suočavaju.",04.07.2019. u 12:30
164,Načelnik Općine Ilidža,"Senaid Memić: Vodovod ima monopol, podržat ću stvaranje lokalnog preduzeća","Načelnik Općine Ilidža Senaid Memić u nedjelju je za Klix.ba kazao da mu se mještani naselja Glavogodina u posljednje vrijeme intenzivno žale kako im iz preduzeća Vodovod i kanalizacija (ViK) donose kazne na vrata. Međutim, on za naš portal objašnjava kako je riječ o mnogo ozbiljnijem problemu.",24.06.2019. u 11:30
165,Ilidža,"Memić: Mještani naselja Glavogodina mi se žale da im ViK donosi kazne do 15.000 KM, spremamo tužbe","Načelnik Općine Ilidža Senaid Memić kazao je za naš portal da mu s emještani ilidžanskog naselja Glavogodina žale da im radnici preduzeća Vodovod i kanalizacija (ViK) od jutros na vrata donose kazne za neplaćanje vode, a kazne se kreću od 3.000 do 15.000 KM.",22.06.2019. u 13:37
166,Sarajevo,Radnici otklanjaju veliki kvar na glavnoj vodovodnoj cijevi na Alipašinom polju,Radnici kantonalnog preduzeća Vodovod i kanalizacija Sarajevo u ranim jutarnjim satima nastavili su s radovima na otklanjanju velikog kvara na glavnoj vodovodnoj cijevi u ulici Ive Andrića u sarajevskom naselju Alipašino Polje.,15.06.2019. u 08:00
167,Sjednica Nadzornog odbora,"Smijenjena Azra Muzur, novi direktor sarajevskog Vodovoda je Enver Hadžiahmetović","Nadzorni odbor Kantonalnog javnog preduzeća Vodovod i kanalizacija Sarajevo na sjednici koja je održana večeras smijenio je dosadašnju direktoricu ovog preduzeća Azru Muzur, saznaje Klix.ba.",13.06.2019. u 19:47
168,Intervju,"Konaković: Za nekoliko dana imat ćemo nove direktore u ViK-u i ZOI-u, stanje u MUP-u je jako loše","Predsjednik stranke Narod i pravda (NiP) te predsjedavajući Skupštine Kantona Sarajevo Elmedin Konaković u razgovoru za Klix.ba govori o ""sječi kadrova"" u javnim institucijama, o trošenju budžeta i projektima, novim zapošljavanjima, izboru policijskog komesara ali i o odnosu prema Islamskoj zajednici BiH.",09.06.2019. u 20:54
169,Potvrđeno za Klix.ba,"Skupština ViK-a naložila direktorici Muzur da obustavi sporni konkurs, ona se oglušila","Skupština javnog preduzeća Vodovoda i kanalizacije (ViK) donijela je zaključak po kojem je obavezala direktoricu ViK-a Azru Muzur, kao i menadžment preduzeća da obustave sve aktivnosti u vezi s provođenjem spornog konkursa za prijem 90 radnika, o čemu je pisao Klix.ba.",22.05.2019. u 12:54
170,Konkurs ViK-a,"Irhad Omeragić: Jesam sin vozača direktorice Azre Muzur, ali prvi put se prijavljujem","Nakon teksta na portalu Klix.ba u kojem smo dokumentovali sumnjivu implementaciju konkursa javnog preduzeća Vodovod i kanalizacija Sarajevo na način da su najbolje rangirani kandidati već uposlene osobe, reagirao je Irhad Omeragić.",18.05.2019. u 13:57
171,Rodbinske veze,"ViK provodi konkurs za prijem 90 radnika, najbolji kandidati su već uposlene osobe","Javno kantonalno preduzeće Vodovod i kanalizacija (ViK) trenutno provodi konkurs za prijem radnika u radni odnos na određeno vrijeme u trajanju do 31. decembra i to za 24 radna mjesta i ukupno 90 izvršilaca. Na sam konkurs prijavilo se ukupno 477 kandidata, a konkurs je raspisan 14. aprila.",16.05.2019. u 18:31
172,Potvrdila direktorica,U ViK-u od januara 2018. godine zaposleno 78 novih radnika,U sarajevskom javnom preduzeću Vodovod i kanalizacija u periodu od 1. januara 2018. godine do 30. marta 2019. godine zaposleno je 78 novih radnika.,13.05.2019. u 11:17
173,"""Na određeno""","ViK promijenio oglas za prijem ""novinara saradnika"", MUP tvrdi da nije dobio prijavu","Sarajevsko preduzeće Vodovod i kanalizacija (ViK) 30. aprila 2019. godine ipak je raspisalo konkurs za prijem ""novinara saradnika"", ali na određeno vrijeme. Nakon pisanja portala Klix.ba direktorica ViK-a Azra Muzur danas je odlučila izmijeniti tekst oglasa i od kandidata, vjerovali ili ne, zatražiti da imaju i radno iskustvo.",09.05.2019. u 11:26
174,"""Lažni oglas""","Iz ViK-a kritikovali premijera Fortu, Kafedžića i Službu za zapošljavanje","Iz sarajevskog preduzeća Vodovod i kanalizacija ponovo su se oglasili nakon afere ""lažni oglas"" upućujući kritike čak premijeru Edinu Forti, šefu Ureda za borbu protiv korupcije Kantona Sarajevo Erduanu Kafedžiću te Službi za zapošljavanje KS.",09.05.2019. u 07:23
175,"Slučaj ""konkurs""",Služba za zapošljavanje provjerava s kojeg maila su dobili zahtjev za objavu oglasa ViK-a,"Služba za zapošljavanje Kantona Sarajevo, prema riječima njihovog direktora Muhameda Bekte, provjerava s kojeg maila su dobili zahtjev za objavljivanje oglasa KJKP Vodovod i kanalizacija.",08.05.2019. u 20:11
176,Falsifikat?,"ViK tvrdi da je konkurs lažan, Služba za zapošljavanje uklonila oglas","KJKP Vodovod i kanalizacija oglasio se povodom pisanja portala Klix.ba i oglasa za poziciju ""novinar"" u tom preduzeću, a koji je objavljen na stranici Službe za zapošljavanje.",08.05.2019. u 18:41
177,Nakon pisanja Klix.ba,"Oštre reakcije Forte i Kafedžića zbog sumnjivog konkursa za ""novinara"" u ViK-u","Nakon pisanja portala Klix.ba o sumnjivom konkursu za prijem novinara u KJKP Vodovod i kanalizacija, oglasili su se premijer Kantona Sarajevo Edin Forto i šef Ureda za borbu protiv korupcije KS Erduan Kafedžić.",08.05.2019. u 18:07
178,Krajnje sumnjivo,"Sarajevski ViK traži ""novinara"", oglas traje dva dana, a uslov završen ekonomski fakultet","Kantonalno javno komunalno preduzeće ""Vodovod i kanalizacija"" d.o.o Sarajevo raspisalo je javni konkurs za prijem ""novinara saradnika"" na neodređeno vrijeme. Javni konkurs traje samo dva dana, a ""novinar saradnik"" isključivo mora imati završen ekonomski fakultet i to smjer marketing.",08.05.2019. u 16:24
179,Poruka iz ViK-a,Zbog brojnih radova jedan dio Sarajeva danas bez vode,"Zbog radova na popravkama kvarova i zbog ugradnje mjerača protoka na glavnoj odlaznoj vodovodnoj cijevi iz Rezervoara ""Hambina Carina"" jedan dio Sarajeva bit će bez vode.",29.04.2019. u 09:43
180,Problem vodosnabdijevanja,O smjeni upravljačke strukture ViK-a odlučivat će skupština preduzeća,Nakon što je preduzeće Vodovod i kanalizacija (ViK) jučer zbog redovnih radova i ispitivanja trafo-stanica na izvorištu Bačevo ostavilo stanovnike Sarajeva bez vode do 18 sati postavlja se pitanje odgovornosti upravljačkih struktura u ViK-u.,15.04.2019. u 11:29
181,Nakon popravke,"Veći dio Sarajeva dobio vodu, potpuna normalizacija do 18 sati","Zbog redovnog održavanja vodovodne mreže i zbog radova na trafostanici na izvorištu Bačevo od jutros je veći dio Sarajeva bio bez vode. Iako je najavljena normalizacija vodosnabdijevanja do 20 sati, iz ViK-a nam je saopćeno kako bi glavni grad BiH trebao dobiti vodu do 18 sati.",14.04.2019. u 15:53
182,Nedjelja bez vode,Klix.ba na izvorištu Bačevo: Mnogo posla za ViK dok građani negoduju,"Zbog redovnog održavanja i ispitivanja trafo-stanice na izvorištu Bačevo danas je gotovo cijeli glavni grad Bosne i Hercegovine bez vode. Građani su ogorčeni jer nedjelju provode bez vode u česmama, a ekipa portala Klix.ba je posjetila radnike Vodovoda i kanalizacije te zabilježila šta to oni zapravo rade.",14.04.2019. u 12:47
183,Radovi na izvorištu,Građani Sarajeva danas cijeli dan bez vode,Veći dio Sarajeva danas će biti bez vode ili sa smanjenim pritiskom vode zbog redovnih radova i ispitivanja trafo stanica na izvorištu Bačevo.,14.04.2019. u 07:47
184,I do 4.600 KM,Pogledajte kolike su plaće direktora javnih preduzeća u Kantonu Sarajevo,Javno su objavljene plaće većine direktora javnih preduzeća u Kantonu Sarajevo. Enormni iznosi koji se mjesečno isplaćuju na račune pojedinaca iznenadili su i kantonalne zastupnike.,08.04.2019. u 22:23
185,Biografije i primanja,Ko su članovi Tima za borbu protiv korupcije KS u koje vlast polaže velike nade,"Posljednjih mjeseci u javnom prostoru često se spominje Tim za borbu protiv korupcije u koji Vlada Kantona Sarajevo polaže poprilično velike nade. Prema zvaničnim podacima, ovaj tim ima osam članova među kojima je i donedavni predsjednik Skupštine ViK-a i uposlenik ZZO KS Muamer Kosovac.",08.04.2019. u 20:30
186,Popravke kvarova,Veliki dio Sarajeva danas bez vode,"Iz KJKP Vodovod i kanalizacija Sarajevo danas su saopćili kako će u okviru redovnih aktivnosti na održavanju vodovodnog sistema izvoditi radove na popravkama kvarova u nekoliko sarajevskih ulica, a u pojedinim dijelovima Sarajeva doći će do potpunog prekida vodosnabdijevanja.",28.03.2019. u 12:31
187,Sarajevo,Svi članovi Skupštine ViK-a podnijeli neopozive ostavke,"Svi članovi Skupštine Kantonalnog javnog komunalnog preduzeća ""Vodovod i kanalizacija"" Sarajevo podnijeli su neopozive ostavke, saznaje Klix.ba.",26.03.2019. u 10:06
188,Bez vode bili 20 sati,"Sarajevski ""Vodovod"" briše Facebook komentare građana koji su negodovali","Građani većeg broja sarajevskih naselja dobili su vodu u ranim jutarnjim satima nakon što su slavine bile suhe 20 sati. Ogorčeni građani postavljali su pitanja i iskazali negodovanje na zvaničnoj Facebook stranici KJKP Vodovod i kanalizacija, ali su ti komentari jutros izbrisani.",22.03.2019. u 16:00
189,Radovi još traju,Sarajlije ogorčene: Vode najvjerovatnije neće biti do ujutro,"Veći broj sarajevskih naselja od devet sati jutros je bez vode zbog radova na potisnom cjevovodu ""Bačevo - Alipašin most"". Kako saznajemo, radovi još traju i nije poznato kada će vodosnabdijevanje biti normalizovano.",21.03.2019. u 20:17
190,Sarajevo,ViK: Izvođač radova na Stupu je ugrozio stabilnost vodovoda koji nije lokalni,"U petak se tokom cijelog dana u sarajevskom naselju Stup odvijala prava drama nakon što je došlo do obrušavanja vodovodne cijevi jer je došlo do ugrožavanja gasovoda, ali i stambene zgrade u neposrednoj blizini gdje se izvode radovi na izgradnji novog objekta.",02.03.2019. u 15:41
191,Privremeno,Vodovod i kanalizacija: Riješili smo problem vodosnabdijevanja na Stupu,"Nakon što je došlo do oštećenja vodovodne cijevi u sarajevskom naselju Stup i nestanka vode u cijelom naselju, iz KJKP Vodovod i kanalizacija tvrde će vodosnadbijevanje uskoro biti normalizovano.",01.03.2019. u 17:48
192,Mještani ogorčeni,"Vodovodna cijev na Stupu postavljena bez saglasnosti vlasnika parcele, inspekcija ranije obustavila radove","Nakon što je na gradilištu u sarajevskom naselju Stup došlo do oštećenja vodovodne cijevi zbog čega kompletno naselje ostalo bez vode, iz firme Euro-Izgradnja koja izvodi radove na ovom lokalitetu uputili su saopćenje za javnost u kojem pojašnjavaju kako se desio cijeli slučaj.",01.03.2019. u 17:24
193,Alarmantno u Sarajevu,"Kritična situacija na Stupu zbog urušavanja vodovodne cijevi, Muzur optužila nesavjesne investitore","Azra Muzur, direktorica KJKP Vodovod i kanalizacija, kazala je da je pored glavne vodovodne cijevi u sarajevskom naselju Stup ugrožena i potisna cijev Bačevo - Mojmilo, a sve zbog nemara investitora odnosno izvođača radova novih stambenih zgrada u ovom naselju.",01.03.2019. u 14:13
194,Stanari zabrinuti,Dramatično na Stupu: Ugrožena stambena zgrada i gasovod,"Nakon što su radnici koji rade na iskopavanju zemljišta za izgradnju stambene zgrade u sarajevskom naselju Stup u četvrtak oštetili glavnu vodovodnu cijev, kompletno naselje od sinoć nema vode, a jutros su se pojavili novi problemi.",01.03.2019. u 11:45
195,Mnogi bez vode,Oštećena glavna vodovodna cijev na Stupu u Sarajevu,Zbog ostećenja glavne vodovodne cijevi mještani Stupske ulice u Sarajevu nemaju vode od četvrtka navečer.,01.03.2019. u 08:38
196,Pomjeranja tla,"Zbog odlaganja otpada ugrožen plinovod BH-Gasa u Zenici, mještani strahuju od katastrofe",Mještani ulice Smetovski put u Zenici zabrinuti su za svoju sigurnost nakon što su primijetili da Javno preduzeće Vodovod i kanalizacija (VIK) na ovom lokalitetu gdje se nalazi plinovod BH-Gasa odlaže otpad čime se stvara opterećenje na cijevi plinovoda.,11.02.2019. u 18:55
197,Građani se žale,"U sarajevskom naselju Nahorevo došlo do zamućenja vode, iz ViK-a tvrde da je sve u redu","Zbog obilnih padavina i otapanja snijega u sarajevskom naselju Nahorevo na području Općine Centar došlo je do zamućenja vode, a građani se već nekoliko dana žale kako moraju kupovati flaširanu vodu i kako ne mogu koristiti vodu iz slavine.",06.02.2019. u 15:20
198,Reakcija,"Vodovod i kanalizacija KS: Za utvrđivanje cijene vode nadležna je Vlada, mi radimo odgovorno","Nakon informacije koju smo objavili o činjenici da je Uprava sarajevskog preduzeća Vodovod i kanalizacija na posljednjoj sjednici razmatrala nekoliko dokumenata bitnih za poslovanje te utvrdila prijedloge dokumenata, među kojima je izmjena cjenovnika, reagirali su iz te kompanije.",05.02.2019. u 16:11
199,Sarajevo,U ViK-u planiraju izmjenu cjenovnika usluga; Konaković poručuje da voda ne smije poskupjeti,"Uprava sarajevskog preduzeća Vodovod i kanalizacija na posljednjoj sjednici je razmatrala nekoliko dokumenata bitnih za poslovanje te utvrdila prijedloge dokumenata, među kojima je izmjena cjenovnika.",05.02.2019. u 13:52
200,Najviše plaćaju struju,"Građani Sarajeva dužni milione KM za komunalije: Gomilaju se računi za grijanje, vodu, smeće...","Komunalna preduzeća širom naše države bore se s dužnicima čiji ukupni dugovi dostižu višemilionske iznose. Najveći dugovi bilježe se u Kantonu Sarajevo gdje brojni građani ne izmiruju redovno mjesečne troškove za isporuku grijanja, vode, plina, sve do odvoza smeća.",31.01.2019. u 07:15
201,Konaković sazvao sjednicu,"Skupština KS danas razmatra budžet, na dnevnom redu informacije o radu GRAS-a i ViK-a",Skupština Kantona Sarajevo danas bi se trebala izjasniti o Prijedlogu budžeta Kantona Sarajevo za 2019. godinu i Prijedlogu Zakona o izvršavanju budžeta Kantona Sarajevo za ovu godinu.,30.01.2019. u 07:28
202,Stari Grad i Centar,"Dio Sarajeva danas bez vode, kvar na cjevovodu rezervoara Grdonj",Iz Javnog komunalnog preduzeća Vodovod i kanalizacija Sarajevo saopćili su da će doći do obustave vodosnabdjevanja zbog kvara na cjevovodu Grdonj u ulici Mali Sedrenik.,21.01.2019. u 08:17
203,Savjeti stručnjaka,Sarajevski vodovod upozorava na pravilnu zaštitu vodomjera u zimskom periodu,"Niske vremenske temperature i slaba zaštićenost vodomjernih mjesta, šahtova, u mnogim slučajevima prouzrokuju pojavu pucanja stakla vodomjera, a često i oštećenje kompletnoga vodomjera. Usljed smrzavanja vode u dijelovima internih vodovodnih instalacija, koje nisu dovoljno zaštićene ili se na njima voda rijetko koristi, građani mogu ostati bez vode, upozoravaju iz preduzeća Vodovod i kanalizacija Sarajeva.",14.12.2018. u 13:34
204,Za razliku od zraka,ViK tvrdi: Voda u Kantonu Sarajevo je zdravstveno ispravna,"Voda u sistemu javnog vodosnabdijevanja u nadležnosti KJKP „Vodovod i kanalizacija“ (ViK) d.o.o. Sarajevo pod redovnom je kontrolom i svi uzorci su zdravstveno ispravni. Nema nikakvih promjena u kvalitetu vode, niti razloga za sumnju u kvalitet vode.",04.12.2018. u 17:15
205,Novi radovi,"ViK Sarajevo i danas popravlja kvarove, poremećaji u vodosnabdijevanju u 21 naselju",KJKP Vodovod i kanalizacija Sarajevo i danas će vršiti popravke kvarova na vodovodnoj mreži zbog čega će poremećaje u vodosnabdijevanju imati 21 naselje.,21.11.2018. u 08:49
206,Nove popravke,"Danas bez vode Marijin Dvor, Bistrik, Kovači, Otoka...","Radnici KJKP ""Vodovod i kanalizacija"" i danas će obavljati prijeko potrebne popravke na više lokacija u glavnom gradu BiH.",09.11.2018. u 09:11
207,Odluka Vlade,MUP KS dobio novo sjedište: Dodijeljena im građevinska konstrukcija u Kolodvorskoj ulici,Još uvijek neizgrađeni objekt u ulici Kolodvorska na području općine Novo Sarajevo danas je na sjednici Vlade Kantona Sarajevo i zvanično ustupljen na korištenje Ministarstvu unutrašnjih poslova Kantona Sarajevo.,08.11.2018. u 13:09
208,Svakodnevne popravke,"Problemima u vodosnabdijevanju nema kraja, ViK Sarajevo sve pravda starom mrežom","Veliki dio Sarajeva svakodnevno ima poremećaje u vodosnabdijevanju zbog popravki kvarova na vodovodnoj mreži. U srijedu su poremećaje imala 24 naselja, danas ih je 16. Iz KJKP Vodovod i kanalizacija to, kao i ranije, pravdaju starom i dotrajalom mrežom, a kraj popravkama i poremećajima se ne nazire.",08.11.2018. u 09:05
209,Građani se žale,"Radovi na lokacijama u Sarajevu traju i po nekoliko mjeseci, a odgovornosti se prebacuju","Radovi na rekonstrukciji saobraćajnica i šetališta na Skenderiji, u Aleji lipa i na Vracama već duži vremenski period su u toku. Iako se stanovnici ovih naselja svakodnevno susreću s problemima kada je riječ o normalnom odvijanju saobraćaja, još uvijek se ne nazire konačan kraj radova.",03.11.2018. u 14:02
