,Podnaslov,Glavni naslov,Prvi paragraf,Datum objave vijesti
29,Sve više žalbi u Sarajevu,Pitali smo ViK zašto građani Sarajeva svjedoče užasnom vodovodnom sistemu - Nije do njih,"Problem u vodovodnom i kanalizacijonom sistemu u Sarajevu je dugogodišnji. Kvarovi su česti, isto tako često smo svjedoci i radova na otklanjanju kvarova, međutim građani stiču utisak da se zapravo tapka u mjestu jer situacija u glavnom gradu BiH, što se podzemnih voda tiče, nije baš zadovoljavajuća.",15.08.2023. u 13:13
30,Magistrala M17,Objašnjeno zašto kasni rekonstrukcija mosta na Ilidži i zbog čega ostaje trenutni režim saobraćaja,U preduzeću Ceste Federacije Bosne i Hercegovine su obrazložili zašto je prekidana rekonstrukcija mosta na magistralnoj cesti M17 na Ilidži. Osvrnuli su se i na pitanje regulacije saobraćaja tokom rekonstrukcije.,13.08.2023. u 07:53
31,Stalan problem,"Loša slika za nikad posjećenije Sarajevo: Kanalizacija teče ulicama, voda na česmama upitnog kvaliteta","U periodu godine kada je Sarajevo najposjećenije, zbog stalnih problema sa vodovodom i kanalizacijama, šalje se vrlo ružna slika. Stanari pojedinih naselja se sedmicama suočavaju s problemima koji se ne rješavaju.",06.08.2023. u 13:56
32,Općina Centar Sarajevo,Jasmin Ademović se sastao sa građanima iz jedne ulice i pozvao Mandića da riješi njihov problem,"Općinski i gradski vijećnik Jasmin Ademović (NiP) pozvao je načelnika općine Centar Srđana Mandića, čiji je referendum za opoziv izglasan, da riješi problem građana u Hadži-Sulejmanovoj ulici.",01.08.2023. u 17:01
33,EU odobrila 5 miliona KM,Problemi sa vodom u Sarajevu: Kada građani mogu očekivati početak rekonstrukcije vodovodne mreže,"Unapređenje sistema vodosnabdijevanja u Sarajevu jedan je od projekata za koji je Investicioni font za Zapadni Balkan izdvojio 2,5 miliona eura bespovratnih, odnosno grant sredstava. Početak radova građani Sarajeva ipak ne mogu očekivati tako brzo.",16.07.2023. u 14:09
34,Veliki kvar,"Veći dio Sarajeva satima bez vode, iz ViK-a saopćili kada se očekuje normalizacija vodosnabdijevanja",Iz KJKP Vodovod i kanalizacija su saopćili da je zbog kvara na elektroinstalacijama na izvorištu Bačevo došlo do prekida u snabdijevanju vodom većeg dijela Sarajeva.,26.06.2023. u 20:53
35,Neizmirene obaveze,ViK: Zbog duga investitora od 120.000 KM morali smo isključiti vodu stanarima zgrade u Vogošći,Sarajevsko preduzeće Vodovod i kanalizacija (ViK) danas je isključilo šest vodomjernih mjesta u stambenoj zgradi na području Vogošće zbog ukupnog duga od 120.000 KM.,19.05.2023. u 21:05
36,,Zastupnica SBiH predložila da Kanton Sarajevo ima svoju tvornicu vode,Zastupnica SBiH-a u Skupštini Kantona Sarajevo Admela Hodžić predložila je kantonalnoj vlasti da razmotri izgradnju tvornice vode. Obrazložila je zašto smatra da je potrebno razmotriti ovaj prijedlog.,17.05.2023. u 17:44
37,Javna infrastruktura,"ViK osigurao 2,7 miliona KM za rješavanje pitanja vodosnabdijevanja vogošćanskih naselja","Sarajevsko preduzeće Vodovod i kanalizacija (ViK) osiguralo je 2,7 miliona KM za izgradnju vodovodne mreže i vodovodnih objekata na području Vogošće.",17.05.2023. u 15:38
38,Skupština KS,"Najavljena rasprava o ""Sarajevskom polju"": Vodozaštitna zona posvađala političare i udruženja","Skupština Kantona Sarajevo na nastavku Treće radne sjednice koja je zakazana za utorak, raspravljat će između ostalog i o Nacrtu privremene odluke o zaštiti izvorišta vode za piće ""Sarajevsko polje"".",17.04.2023. u 12:02
39,Reforma sistema naplate,Građani Sarajeva će od 1. aprila račune za vodu moći platiti u BH Pošti bez provizije,"Preduzeće ""Vodovod i kanalizacija"" Sarajevo će od 1. aprila 2023.
godine, u okviru ranije poduzetih aktivnosti na reformi sistema naplate, omogućiti uz predočen račun plaćanje usluga potrošnje i odvodnje vode u poslovnicama BH Pošte bez troškova provizije.",22.03.2023. u 08:59
40,Javna infrastruktura,Kanton Sarajevo: Počela rekonstrukcija vodovodne mreže koja će trajati dvije godine,"Počela je rekonstrukcija vodovodne mreže u Kantonu Sarajevo koja bi trebala trajati dvije godine, a koja će koštati 9,8 miliona eura osiguranih kreditom Evropske banke za obnovu i razvoj (EBRD).",24.02.2023. u 16:06
41,Komunalne usluge,"Sarajevski ViK: Neminovno je poskupljenje vode, još nije utvrđena nova cijena",Iz sarajevskog preduzeća Vodovod i kanalizacija (ViK) su poručili da je neminovno poskupljenje njihovih usluga te su obrazložili zašto su tog stava.,17.02.2023. u 12:47
42,Zastupnik u Skupštini KS,Bandić objavio akt o planu povećanja cijene vode u Kantonu Sarajevo,Zastupnik Stranke za BiH (SBiH) u Skupštini Kantona Sarajevo Muamer Bandić nedavno je najavio kako nas očekuje enormno poskupljenje vode i otpadnih voda što je izazvalo niz reakcija. Danas je Bandić objasnio odakle dolazi takva informacija.,16.02.2023. u 13:02
43,Javni resursi,Zastupnik u Skupštini KS Muamer Bandić tvrdi da se priprema enormno poskupljenje vode,"Zastupnik SBiH-a u Skupštini Kantona Sarajevo Muamer Bandić tvrdi da se u ovom kantonu priprema znatno poskupljenje vode, kao i usluga odvoda otpadnih voda.",15.02.2023. u 13:04
